data_year,state_abbr,officer_state_total
1982,IN,9600
1982,KS,5102
1982,KY,4973
1982,LA,9295
1982,MA,13226
1982,MD,11107
1982,ME,1884
1982,MI,19463
1982,MN,6833
1982,MO,10439
1982,MP,0
1982,MS,3204
1982,MT,1536
1982,NB,2952
1982,NC,11814
1982,ND,1024
1982,NH,1954
1982,NJ,25498
1982,NM,3245
1982,NV,2918
1982,NY,56221
1982,OH,21132
1982,OK,6402
1982,OR,4778
1982,OT,0
1982,PA,22123
1982,PR,0
1982,RI,2280
1982,SC,5533
1982,SD,1009
1982,TN,9387
1982,TX,33014
1982,UT,2896
1982,VA,11161
1982,VI,0
1982,VT,595
1982,WA,7469
1982,WI,11887
1982,WV,2871
1982,WY,1610
1983,AK,1779
1983,AL,9506
1983,AR,4616
1983,AS,0
1983,AZ,9446
1983,CA,71833
1983,CO,9190
1983,CT,7887
1983,CZ,0
1983,DC,4385
1983,DE,1413
1983,FL,35472
1983,FS,0
1983,GA,15303
1983,GM,0
1983,HI,2973
1983,IA,5497
1983,ID,2185
1983,IL,35038
1983,IN,11249
1983,KS,5892
1983,KY,6741
1983,LA,12832
1983,MA,15231
1983,MD,13013
1983,ME,1776
1983,MI,21904
1983,MN,7621
1983,MO,12316
1983,MP,0
1983,MS,4780
1983,MT,1866
1983,NB,3559
1983,NC,13862
1983,ND,1232
1983,NH,2038
1983,NJ,28805
1983,NM,4134
1983,NV,3164
1983,NY,57493
1983,OH,23391
1983,OK,7752
1983,OR,5563
1983,OT,0
1983,PA,26587
1983,PR,0
1983,RI,2490
1983,SC,6615
1983,SD,1232
1983,TN,10732
1983,TX,40658
1983,UT,3600
1983,VA,13289
1983,VI,0
1983,VT,966
1983,WA,8742
1983,WI,12146
1983,WV,3008
1983,WY,1870
1984,AK,1450
1984,AL,9697
1984,AR,4667
1984,AS,0
1984,AZ,9890
1984,CA,73772
1984,CO,9507
1984,CT,8101
1984,CZ,0
1984,DC,4376
1984,DE,1458
1984,FL,36859
1984,FS,0
1984,GA,13971
1984,GM,0
1984,HI,3054
1984,IA,5231
1984,ID,2244
1984,IL,33691
1984,IN,11027
1984,KS,5990
1984,KY,6777
1984,LA,13329
1984,MA,15260
1984,MD,14063
1984,ME,2379
1984,MI,22225
1984,MN,7685
1984,MO,12321
1984,MP,0
1984,MS,4942
1984,MT,2018
1984,NB,3604
1984,NC,14114
1984,ND,1236
1984,NH,2070
1984,NJ,29278
1984,NM,4208
1984,NV,3299
1984,NY,65575
1984,OH,23251
1984,OK,7897
1984,OR,5593
1984,OT,0
1984,PA,26515
1984,PR,0
1984,RI,2515
1984,SC,6824
1984,SD,1186
1984,TN,11257
1984,TX,42547
1984,UT,3696
1984,VA,13673
1984,VI,0
1984,VT,992
1984,WA,9093
1984,WI,12407
1984,WV,3913
1984,WY,1908
1985,AK,1531
1985,AL,9917
1985,AR,4754
1985,AS,0
1985,AZ,10570
1985,CA,73830
1985,CO,9747
1985,CT,8158
1985,CZ,0
1985,DC,4341
1985,DE,1500
1985,FL,38639
1985,FS,0
1985,GA,16261
1985,GM,0
1985,HI,3045
1985,IA,5558
1985,ID,2253
1985,IL,33661
1985,IN,11697
1985,KS,6144
1985,KY,6977
1985,LA,13397
1985,MA,15436
1985,MD,14119
1985,ME,2416
1985,MI,23373
1985,MN,7992
1985,MO,12352
1985,MP,0
1985,MS,5096
1985,MT,2044
1985,NB,3651
1985,NC,14412
1985,ND,1271
1985,NH,2149
1985,NJ,30306
1985,NM,4432
1985,NV,3436
1985,NY,64907
1985,OH,23624
1985,OK,8100
1985,OR,5588
1985,OT,0
1985,PA,26339
1985,PR,0
1985,RI,2531
1985,SC,7153
1985,SD,1271
1985,TN,11520
1985,TX,45489
1985,UT,3841
1985,VA,14046
1985,VI,0
1985,VT,1056
1985,WA,9203
1985,WI,12323
1985,WV,3924
1985,WY,1923
1986,AK,1765
1986,AL,10401
1986,AR,4819
1986,AS,0
1986,AZ,11232
1986,CA,75853
1986,CO,9922
1986,CT,8273
1986,CZ,0
1986,DC,4414
1986,DE,1479
1986,FL,40631
1986,FS,0
1986,GA,16719
1986,GM,0
1986,HI,3035
1986,IA,5590
1986,ID,2341
1986,IL,34266
1986,IN,11923
1986,KS,6261
1986,KY,6997
1986,LA,13451
1986,MA,16095
1986,MD,14395
1986,ME,2416
1986,MI,24510
1986,MN,8100
1986,MO,12702
1986,MP,0
1986,MS,5184
1986,MT,2052
1986,NB,3643
1986,NC,14819
1986,ND,1222
1986,NH,2257
1986,NJ,31134
1986,NM,4461
1986,NV,3530
1986,NY,67043
1986,OH,23997
1986,OK,8001
1986,OR,5642
1986,OT,0
1986,PA,26127
1986,PR,0
1986,RI,2539
1986,SC,7523
1986,SD,1293
1986,TN,11847
1986,TX,47419
1986,UT,3786
1986,VA,14527
1986,VI,0
1986,VT,1066
1986,WA,9423
1986,WI,12378
1986,WV,3845
1986,WY,1890
1987,AK,1495
1987,AL,10447
1987,AR,4805
1987,AS,0
1987,AZ,11593
1987,CA,76296
1987,CO,10113
1987,CT,8693
1987,CZ,0
1987,DC,4528
1987,DE,1551
1987,FL,42976
1987,FS,0
1987,GA,17887
1987,GM,0
1987,HI,3146
1987,IA,5647
1987,ID,2445
1987,IL,34469
1987,IN,12127
1987,KS,6503
1987,KY,6980
1987,LA,13789
1987,MA,16647
1987,MD,14580
1987,ME,2465
1987,MI,24855
1987,MN,8437
1987,MO,12756
1987,MP,0
1987,MS,5264
1987,MT,1987
1987,NB,3684
1987,NC,15483
1987,ND,1233
1987,NH,2374
1987,NJ,31982
1987,NM,4609
1987,NV,3685
1987,NY,68579
1987,OH,24674
1987,OK,8066
1987,OR,5683
1987,OT,0
1987,PA,26308
1987,PR,0
1987,RI,2636
1987,SC,7909
1987,SD,1315
1987,TN,12469
1987,TX,48602
1987,UT,3741
1987,VA,14921
1987,VI,0
1987,VT,1116
1987,WA,9452
1987,WI,12094
1987,WV,3737
1987,WY,1797
1988,AK,1540
1988,AL,10715
1988,AR,4953
1988,AS,0
1988,AZ,10323
1988,CA,72805
1988,CO,10168
1988,CT,8826
1988,CZ,0
1988,DC,4638
1988,DE,1756
1988,FL,45227
1988,FS,0
1988,GA,19041
1988,GM,0
1988,HI,3190
1988,IA,5695
1988,ID,2478
1988,IL,36273
1988,IN,12330
1988,KS,6780
1988,KY,6969
1988,LA,13703
1988,MA,16977
1988,MD,15064
1988,ME,2602
1988,MI,24023
1988,MN,8628
1988,MO,13004
1988,MP,0
1988,MS,5469
1988,MT,1992
1988,NB,3793
1988,NC,15996
1988,ND,1244
1988,NH,2531
1988,NJ,33180
1988,NM,4541
1988,NV,3931
1988,NY,70929
1988,OH,25249
1988,OK,7963
1988,OR,5915
1988,OT,0
1988,PA,25845
1988,PR,0
1988,RI,2678
1988,SC,8135
1988,SD,1326
1988,TN,12966
1988,TX,49706
1988,UT,3703
1988,VA,15564
1988,VI,0
1988,VT,1169
1988,WA,9693
1988,WI,12685
1988,WV,3677
1988,WY,1831
1989,AK,1480
1989,AL,11021
1989,AR,5113
1989,AS,0
1989,AZ,12286
1989,CA,83459
1989,CO,10315
1989,CT,8824
1989,CZ,0
1989,DC,4716
1989,DE,1862
1989,FL,48497
1989,FS,0
1989,GA,20337
1989,GM,0
1989,HI,3311
1989,IA,5796
1989,ID,2537
1989,IL,36329
1989,IN,12667
1989,KS,6967
1989,KY,7175
1989,LA,13996
1989,MA,17088
1989,MD,15451
1989,ME,2648
1989,MI,25498
1989,MN,8991
1989,MO,13364
1989,MP,0
1989,MS,5498
1989,MT,2029
1989,NB,3903
1989,NC,16734
1989,ND,1250
1989,NH,2580
1989,NJ,33795
1989,NM,4623
1989,NV,4213
1989,NY,71484
1989,OH,25865
1989,OK,8389
1989,OR,6024
1989,OT,0
1989,PA,26332
1989,PR,0
1989,RI,2719
1989,SC,8517
1989,SD,1298
1989,TN,13545
1989,TX,52392
1989,UT,3698
1989,VA,16192
1989,VI,0
1989,VT,1287
1989,WA,10181
1989,WI,12941
1989,WV,3679
1989,WY,1838
1990,AK,1504
1990,AL,11457
1990,AR,5377
1990,AS,0
1990,AZ,12690
1990,CA,86649
1990,CO,10569
1990,CT,9074
1990,CZ,0
1990,DC,5521
1990,DE,2355
1990,FL,50942
1990,FS,0
1990,GA,21376
1990,GM,0
1990,HI,3446
1990,IA,5969
1990,ID,2568
1990,IL,38588
1990,IN,12938
1990,KS,7370
1990,KY,7450
1990,LA,14515
1990,MA,17018
1990,MD,16186
1990,ME,2625
1990,MI,25248
1990,MN,9225
1990,MO,13871
1990,MP,0
1990,MS,5669
1990,MT,2038
1990,NB,3982
1990,NC,18083
1990,ND,1252
1990,NH,2595
1990,NJ,34267
1990,NM,4690
1990,NV,4464
1990,NY,71422
1990,OH,26751
1990,OK,8646
1990,OR,6246
1990,OT,0
1990,PA,27088
1990,PR,0
1990,RI,2808
1990,SC,9018
1990,SD,1427
1990,TN,14219
1990,TX,55067
1990,UT,3789
1990,VA,17030
1990,VI,0
1990,VT,1209
1990,WA,10949
1990,WI,13178
1990,WV,3636
1990,WY,1879
1991,AK,1648
1991,AL,13624
1991,AR,5628
1991,AS,0
1991,AZ,12906
1991,CA,89401
1991,CO,11996
1991,CT,8727
1991,CZ,0
1991,DC,5148
1991,DE,2377
1991,FL,52413
1991,FS,0
1991,GA,23972
1991,GM,0
1991,HI,3569
1991,IA,6755
1991,ID,2931
1991,IL,39548
1991,IN,13251
1991,KS,7567
1991,KY,7638
1991,LA,15021
1991,MA,16446
1991,MD,16767
1991,ME,2555
1991,MI,25128
1991,MN,9436
1991,MO,13877
1991,MP,0
1991,MS,5701
1991,MT,2124
1991,NB,4045
1991,NC,20971
1991,ND,1419
1991,NH,2568
1991,NJ,34146
1991,NM,5021
1991,NV,4159
1991,NY,71786
1991,OH,27240
1991,OK,9753
1991,OR,6303
1991,OT,0
1991,PA,27607
1991,PR,0
1991,RI,2791
1991,SC,9965
1991,SD,1457
1991,TN,14467
1991,TX,58618
1991,UT,5292
1991,VA,19158
1991,VI,0
1991,VT,1236
1991,WA,11405
1991,WI,13899
1991,WV,3743
1991,WY,1906
1992,AK,1576
1992,AL,13844
1992,AR,5795
1992,AS,0
1992,AZ,13044
1992,CA,88662
1992,CO,11487
1992,CT,8826
1992,CZ,0
1992,DC,5207
1992,DE,2428
1992,FL,53423
1992,FS,0
1992,GA,26099
1992,GM,0
